Amount,Class,Category_id,Category,Customer_id,Tran_id,Contact_no,Email_id,Anomaly
1402.95,0,1,Platinum,Cust_52,Abcd52,3811172375,cust52@gmail.com,1
1142.02,0,1,Platinum,Cust_90,Abcd90,9603719742,cust90@gmail.com,1
919.6,0,1,Platinum,Cust_141,Abcd141,8401323955,cust141@gmail.com,1
937.69,0,1,Platinum,Cust_151,Abcd151,5898348597,cust151@gmail.com,1
3828.04,0,1,Platinum,Cust_165,Abcd165,5922015330,cust165@gmail.com,1
937.69,0,1,Platinum,Cust_175,Abcd175,3962773149,cust175@gmail.com,1
881.13,0,1,Platinum,Cust_514,Abcd514,9895159792,cust514@gmail.com,1
1015.61,0,1,Platinum,Cust_634,Abcd634,3785020843,cust634@gmail.com,1
834.84,0,1,Platinum,Cust_655,Abcd655,7222550131,cust655@gmail.com,1
986.31,0,1,Platinum,Cust_737,Abcd737,6100161296,cust737@gmail.com,1
1602.99,0,1,Platinum,Cust_866,Abcd866,2838135939,cust866@gmail.com,1
1528.9,0,1,Platinum,Cust_1028,Abcd1028,4360845703,cust1028@gmail.com,1
1736.0,0,1,Platinum,Cust_1282,Abcd1282,3124786491,cust1282@gmail.com,1
2452.03,0,1,Platinum,Cust_1389,Abcd1389,1982612982,cust1389@gmail.com,1
1376.13,0,1,Platinum,Cust_1426,Abcd1426,2901258825,cust1426@gmail.com,1
7712.43,0,1,Platinum,Cust_1633,Abcd1633,9162335816,cust1633@gmail.com,1
1127.78,0,1,Platinum,Cust_1642,Abcd1642,8008198238,cust1642@gmail.com,1
838.2,0,1,Platinum,Cust_1674,Abcd1674,4398048305,cust1674@gmail.com,1
1109.2,0,1,Platinum,Cust_1978,Abcd1978,1254725503,cust1978@gmail.com,1
947.94,0,1,Platinum,Cust_2168,Abcd2168,8699238803,cust2168@gmail.com,1
3669.0,0,1,Platinum,Cust_2179,Abcd2179,6530646598,cust2179@gmail.com,1
888.62,0,1,Platinum,Cust_2217,Abcd2217,2117662566,cust2217@gmail.com,1
980.0,0,1,Platinum,Cust_2268,Abcd2268,5454761482,cust2268@gmail.com,1
1055.12,0,1,Platinum,Cust_2307,Abcd2307,8352643089,cust2307@gmail.com,1
1321.12,0,1,Platinum,Cust_2387,Abcd2387,8749678423,cust2387@gmail.com,1
2540.42,0,1,Platinum,Cust_2454,Abcd2454,5698923723,cust2454@gmail.com,1
2909.97,0,1,Platinum,Cust_2623,Abcd2623,4115942142,cust2623@gmail.com,1
1939.3,0,1,Platinum,Cust_2678,Abcd2678,4619518199,cust2678@gmail.com,1
850.15,0,1,Platinum,Cust_2783,Abcd2783,6396090464,cust2783@gmail.com,1
1399.2,0,1,Platinum,Cust_3146,Abcd3146,4361906332,cust3146@gmail.com,1
1068.62,0,1,Platinum,Cust_3560,Abcd3560,9129229746,cust3560@gmail.com,1
1043.56,0,1,Platinum,Cust_3571,Abcd3571,3142816429,cust3571@gmail.com,1
1480.0,0,1,Platinum,Cust_3725,Abcd3725,2678783407,cust3725@gmail.com,1
